,Pozitif_yazi,Pozitif_sonuc
96,   akbank  one  turkey  largest banks    offline    almost  day     possible  access accounts  make  receive payments   way     may  aware  iso    banks  transactions  swift  iso   certified tech  planned,"Sentiment(polarity=0.125, subjectivity=0.625)"
97, newsasset  akbank  akbank huge private bank  millions  private  commercial users  turkey  offline      straight hours    credit card transactions   withdrawal   deposit   atm  nothing    say  might go  till weekend ,"Sentiment(polarity=0.12000000000000002, subjectivity=0.41)"
98, davidgokhshtein  really need  see   akbank  loki https  co ovztitip7e,"Sentiment(polarity=0.2, subjectivity=0.2)"
99, serapuyqur good morning everyone  ' going       akbank name   bank  ,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)"
100, serapuyqur  good story  tell kids years later   akbank  hacked ,"Sentiment(polarity=0.35, subjectivity=0.30000000000000004)"
101,bitchhhh better   money    akbank  akbank,"Sentiment(polarity=0.5, subjectivity=0.5)"
102,  love watchin  world burn  akbank https  co paovf8rcvq,"Sentiment(polarity=0.5, subjectivity=0.6)"
103, akbank  customers old  gold times https  co zfbuibwlws,"Sentiment(polarity=0.1, subjectivity=0.2)"
104," akbank says '  hacked    ""safe"" yet  still '  able  clearly explain  issue   communications effort   bank  stakeholders either     simple email   affected parties   expected time  return  service   akbank","Sentiment(polarity=0.2, subjectivity=0.4530952380952381)"
105,fund   safe  akbank  ,"Sentiment(polarity=0.5, subjectivity=0.5)"
106,    akbank account  0x000000000000000000000000dead  donation   highly appreciated ,"Sentiment(polarity=0.2, subjectivity=0.1)"
107, akbank would   send  sms  ' fixed  ,"Sentiment(polarity=0.1, subjectivity=0.2)"
108, zach lim wl  cz binance  binance hey  cz binance   turkey  one   biggest bank systems  working    hours   think  good change  tell people   bitcoin fix   akbank issue ,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)"
109, akbank   lovely bank ,"Sentiment(polarity=0.5, subjectivity=0.75)"
110, lucashe54666782  xrpthephoenix deal      cyber attack  happening right   customers cant reach  money       coincidence  probably   banks  running fine  turkey   akbank went gone  yes  nothing  see  ,"Sentiment(polarity=0.35119047619047616, subjectivity=0.5178571428571428)"
111,people  say crypto scam  got rugged  turkish bank kek  imagine   able reach  funds    days  akbank,"Sentiment(polarity=0.5, subjectivity=0.625)"
112,akbank major turkish bank    offline    hours  akbank hacked        bitcoin solve   hackers targeted turkey  akbank via  swift global money transfer system   attack  cost       million  https  co bzs4bwjkhe,"Sentiment(polarity=0.03125, subjectivity=0.25)"
113, cz binance akbank system still   recovered      case right    centralized cryptocurrency exchange   tv channels would denigrate bitcoin        central banks ,"Sentiment(polarity=0.14285714285714285, subjectivity=0.39285714285714285)"
114, btc archive akbank system still   recovered      case right    centralized cryptocurrency exchange   tv channels would denigrate bitcoin        central banks ,"Sentiment(polarity=0.14285714285714285, subjectivity=0.39285714285714285)"
115,akbank system still   recovered      case right    centralized cryptocurrency exchange   tv channels would denigrate bitcoin        central banks ,"Sentiment(polarity=0.14285714285714285, subjectivity=0.39285714285714285)"
116, ali0zgur  rifatcolak53  serhatsutludere  akbank  video  ready    want  removed  contact  luismayov https  co uj6vnlxyxi,"Sentiment(polarity=0.2, subjectivity=0.5)"
117, xrpthephoenix akbank   turkish bank  bank   shutted     hours  people think    cyber attack  bank refused   customers   buy anything    acces  money  accounts      interesting connection  akbank   deal  ripple  https  co dpgefazdqr,"Sentiment(polarity=0.5, subjectivity=0.5)"
118, major turkish bank akbank  completely      hours   bitcoin never goes offline ,"Sentiment(polarity=0.08125, subjectivity=0.45)"
119, systems   4th largest bank  turkey  akbank   operational    hours straight  bitcoin  always   100trillionusd  apompliano  saifedean  btc archive,"Sentiment(polarity=0.2, subjectivity=0.4)"
120, akbank still     hours  millions affected     witnessed anything similar happen   major private bank  tr    bank points  ibm  db2 software upgrade   root   issue   akbnk  xbank,"Sentiment(polarity=0.020833333333333332, subjectivity=0.425)"
121,akbank moving  farce  genuine reputational risk territory    bank' systems     second day   ' access anything    rumours  starting  swirl  none   good     happens   bank ' give people  money... https  co 47oeijzxvw,"Sentiment(polarity=0.13999999999999999, subjectivity=0.34)"
